[LAAB-INFO] scalapack/pdgemm | nranks=8 | grid_dim=(2,4) | A=(15000,15000,float64) | B=(15000,15000,float64) | block_size=256x256 | flops=6750000000000
[LAAB-INFO] scalapack/pdgemm | rank=3 | grid_id=(0,3) | A_local=(7576,3584) | B_local=(7576,3584) | io_time=16.16566 s | ab_size=414.31 MB
[LAAB-INFO] scalapack/pdgemm | rank=2 | grid_id=(0,2) | A_local=(7576,3736) | B_local=(7576,3736) | io_time=16.16570 s | ab_size=431.88 MB
[LAAB-INFO] scalapack/pdgemm | rank=0 | grid_id=(0,0) | A_local=(7576,3840) | B_local=(7576,3840) | io_time=16.16568 s | ab_size=443.91 MB
[LAAB-INFO] scalapack/pdgemm | rank=1 | grid_id=(0,1) | A_local=(7576,3840) | B_local=(7576,3840) | io_time=16.16572 s | ab_size=443.91 MB
[LAAB-INFO] scalapack/pdgemm | C_l2=1.837174977032e+06
[LAAB] scalapack/pdgemm | rep=0 | dt=2026-06-19 10:28:37 | dur=1.47879 s | perf=4564.53126 GFLOP/s | nranks=8 | grid_dim=(2,4)
[LAAB] scalapack/pdgemm | rep=1 | dt=2026-06-19 10:28:39 | dur=1.25308 s | perf=5386.72223 GFLOP/s | nranks=8 | grid_dim=(2,4)
[LAAB] scalapack/pdgemm | rep=2 | dt=2026-06-19 10:28:40 | dur=1.36914 s | perf=4930.11711 GFLOP/s | nranks=8 | grid_dim=(2,4)
[LAAB] scalapack/pdgemm | rep=3 | dt=2026-06-19 10:28:41 | dur=1.38364 s | perf=4878.44866 GFLOP/s | nranks=8 | grid_dim=(2,4)
[LAAB] scalapack/pdgemm | rep=4 | dt=2026-06-19 10:28:43 | dur=1.30703 s | perf=5164.38805 GFLOP/s | nranks=8 | grid_dim=(2,4)
